"Area" "Taxa" "Year" "Trait" "Variable" "Value"
"778" "EBS" "Benthos" 1990 "Predator" "biomass" 0.80084994650923
"779" "EBS" "Benthos" 1990 "Scavenger" "abundance" 0
"780" "EBS" "Benthos" 1990 "Scavenger" "biomass" 0
"781" "EBS" "Benthos" 1990 "Size" "abundance" 3.59633398183826
"782" "EBS" "Benthos" 1990 "Size" "biomass" 3.51854492528336
"783" "EBS" "Benthos" 1990 "Suspension.feeder" "abundance" 0.104354366437549
"784" "EBS" "Benthos" 1990 "Suspension.feeder" "biomass" 0.0989433145174593
"787" "EBS" "Benthos" 1990 "Top" "abundance" 0.251464735972287
"788" "EBS" "Benthos" 1990 "Top" "biomass" 0.101615412934748
"801" "EBS" "Benthos" 1992 "Deposit.feeder" "abundance" 0.215070515689049
"802" "EBS" "Benthos" 1992 "Deposit.feeder" "biomass" 0.348447449860144
"803" "EBS" "Benthos" 1992 "Direct.dvlpt" "abundance" 0.324088916178251
"804" "EBS" "Benthos" 1992 "Direct.dvlpt" "biomass" NA
"805" "EBS" "Benthos" 1992 "Epibenthic" "abundance" 0.548764932894048
"806" "EBS" "Benthos" 1992 "Epibenthic" "biomass" 0.290497976551806
"813" "EBS" "Benthos" 1992 "Lecitotrophic" "abundance" 0
"814" "EBS" "Benthos" 1992 "Lecitotrophic" "biomass" NA
"817" "EBS" "Benthos" 1992 "Middle" "abundance" 0.0837040167253925
"818" "EBS" "Benthos" 1992 "Middle" "biomass" 0.0754007144297526
"819" "EBS" "Benthos" 1992 "Planktotrophic" "abundance" 0.675911083821749
"820" "EBS" "Benthos" 1992 "Planktotrophic" "biomass" NA
"821" "EBS" "Benthos" 1992 "Predator" "abundance" 0.642227382917574
"822" "EBS" "Benthos" 1992 "Predator" "biomass" 0.549304588466345
"823" "EBS" "Benthos" 1992 "Scavenger" "abundance" 0.0491334262981937
"824" "EBS" "Benthos" 1992 "Scavenger" "biomass" 0.000881445570736007
"825" "EBS" "Benthos" 1992 "Size" "abundance" 3.50485448262657
"826" "EBS" "Benthos" 1992 "Size" "biomass" 3.53444477548768
"827" "EBS" "Benthos" 1992 "Suspension.feeder" "abundance" 0.0923109945899071
"828" "EBS" "Benthos" 1992 "Suspension.feeder" "biomass" 0.0754007144297526
"831" "EBS" "Benthos" 1992 "Top" "abundance" 0.366685552959069
"832" "EBS" "Benthos" 1992 "Top" "biomass" 0.588686327077748
"845" "EBS" "Benthos" 1993 "Deposit.feeder" "abundance" 0.323364914083921
"846" "EBS" "Benthos" 1993 "Deposit.feeder" "biomass" 0.3352982873064
"847" "EBS" "Benthos" 1993 "Direct.dvlpt" "abundance" 0.390661039573924
"848" "EBS" "Benthos" 1993 "Direct.dvlpt" "biomass" NA
"849" "EBS" "Benthos" 1993 "Epibenthic" "abundance" 0.415862267056884
"850" "EBS" "Benthos" 1993 "Epibenthic" "biomass" 0.312607555519135
"857" "EBS" "Benthos" 1993 "Lecitotrophic" "abundance" 0.0503022625306424
"858" "EBS" "Benthos" 1993 "Lecitotrophic" "biomass" NA
"861" "EBS" "Benthos" 1993 "Middle" "abundance" 0.168739661942943
"862" "EBS" "Benthos" 1993 "Middle" "biomass" 0.158893152461763
"863" "EBS" "Benthos" 1993 "Planktotrophic" "abundance" 0.589155655865432
"864" "EBS" "Benthos" 1993 "Planktotrophic" "biomass" NA
"865" "EBS" "Benthos" 1993 "Predator" "abundance" 0.534884449395003
"866" "EBS" "Benthos" 1993 "Predator" "biomass" 0.489502171597148
"867" "EBS" "Benthos" 1993 "Scavenger" "abundance" 0.0428167216961561
"868" "EBS" "Benthos" 1993 "Scavenger" "biomass" 0.0137063161269638
"869" "EBS" "Benthos" 1993 "Size" "abundance" 3.55189367436638
"870" "EBS" "Benthos" 1993 "Size" "biomass" 3.4818698862727
"871" "EBS" "Benthos" 1993 "Suspension.feeder" "abundance" 0.116539874299931
"872" "EBS" "Benthos" 1993 "Suspension.feeder" "biomass" 0.158215964978652
"875" "EBS" "Benthos" 1993 "Top" "abundance" 0.411883265122275
"876" "EBS" "Benthos" 1993 "Top" "biomass" 0.510240691072486
"889" "EBS" "Benthos" 1995 "Deposit.feeder" "abundance" 0.257861932139596
"890" "EBS" "Benthos" 1995 "Deposit.feeder" "biomass" 0.340084983003399
"891" "EBS" "Benthos" 1995 "Direct.dvlpt" "abundance" 0.439849129429004
"892" "EBS" "Benthos" 1995 "Direct.dvlpt" "biomass" NA
"893" "EBS" "Benthos" 1995 "Epibenthic" "abundance" 0.438320572693736
"894" "EBS" "Benthos" 1995 "Epibenthic" "biomass" 0.257545524665482
"901" "EBS" "Benthos" 1995 "Lecitotrophic" "abundance" 0
"902" "EBS" "Benthos" 1995 "Lecitotrophic" "biomass" NA
"905" "EBS" "Benthos" 1995 "Middle" "abundance" 0.140091944882941
"906" "EBS" "Benthos" 1995 "Middle" "biomass" 0.253969348526902
"907" "EBS" "Benthos" 1995 "Planktotrophic" "abundance" 0.555718333494224
"908" "EBS" "Benthos" 1995 "Planktotrophic" "biomass" NA
"909" "EBS" "Benthos" 1995 "Predator" "abundance" 0.533918841001814
"910" "EBS" "Benthos" 1995 "Predator" "biomass" 0.372319892426776
"911" "EBS" "Benthos" 1995 "Scavenger" "abundance" 0.0566012272981945
"912" "EBS" "Benthos" 1995 "Scavenger" "biomass" 0.0127051293066415
"913" "EBS" "Benthos" 1995 "Size" "abundance" 3.46964419478402
"914" "EBS" "Benthos" 1995 "Size" "biomass" 3.4182075687587
"915" "EBS" "Benthos" 1995 "Suspension.feeder" "abundance" 0.116470427360425
"916" "EBS" "Benthos" 1995 "Suspension.feeder" "biomass" 0.253963487165342
"919" "EBS" "Benthos" 1995 "Top" "abundance" 0.426799779464011
"920" "EBS" "Benthos" 1995 "Top" "biomass" 0.503594737025791
"933" "EBS" "Benthos" 1996 "Deposit.feeder" "abundance" 0.324752379669155
"934" "EBS" "Benthos" 1996 "Deposit.feeder" "biomass" 0.449802406886669
"935" "EBS" "Benthos" 1996 "Direct.dvlpt" "abundance" 0.459957399555922
"936" "EBS" "Benthos" 1996 "Direct.dvlpt" "biomass" NA
"937" "EBS" "Benthos" 1996 "Epibenthic" "abundance" 0.3729683892242
"938" "EBS" "Benthos" 1996 "Epibenthic" "biomass" 0.0608882627715578
"945" "EBS" "Benthos" 1996 "Lecitotrophic" "abundance" 0.0474845832887462
"946" "EBS" "Benthos" 1996 "Lecitotrophic" "biomass" NA
"949" "EBS" "Benthos" 1996 "Middle" "abundance" 0.168600621940806
"950" "EBS" "Benthos" 1996 "Middle" "biomass" 0.370457466770744
"951" "EBS" "Benthos" 1996 "Planktotrophic" "abundance" 0.491463089421616
"952" "EBS" "Benthos" 1996 "Planktotrophic" "biomass" NA
"953" "EBS" "Benthos" 1996 "Predator" "abundance" 0.510733404510942
"954" "EBS" "Benthos" 1996 "Predator" "biomass" 0.140903549044337
"955" "EBS" "Benthos" 1996 "Scavenger" "abundance" 0.0552271665420896
"956" "EBS" "Benthos" 1996 "Scavenger" "biomass" 0.0431224883372658
"957" "EBS" "Benthos" 1996 "Size" "abundance" 3.58537209720384
"958" "EBS" "Benthos" 1996 "Size" "biomass" 3.34503957394316
"959" "EBS" "Benthos" 1996 "Suspension.feeder" "abundance" 0.117567721503413
"960" "EBS" "Benthos" 1996 "Suspension.feeder" "biomass" 0.369150050920263
"963" "EBS" "Benthos" 1996 "Top" "abundance" 0.454920507721071
"964" "EBS" "Benthos" 1996 "Top" "biomass" 0.564929191072885
"977" "EBS" "Benthos" 1997 "Deposit.feeder" "abundance" 0.264026207731025
"978" "EBS" "Benthos" 1997 "Deposit.feeder" "biomass" 0.262940046885131
"979" "EBS" "Benthos" 1997 "Direct.dvlpt" "abundance" 0.467720251931962
"980" "EBS" "Benthos" 1997 "Direct.dvlpt" "biomass" NA
"981" "EBS" "Benthos" 1997 "Epibenthic" "abundance" 0.424195425482639
"982" "EBS" "Benthos" 1997 "Epibenthic" "biomass" 0.254983640329617
"989" "EBS" "Benthos" 1997 "Lecitotrophic" "abundance" 0
"990" "EBS" "Benthos" 1997 "Lecitotrophic" "biomass" NA
"993" "EBS" "Benthos" 1997 "Middle" "abundance" 0.112191334765199
"994" "EBS" "Benthos" 1997 "Middle" "biomass" 0.209766296701579
"995" "EBS" "Benthos" 1997 "Planktotrophic" "abundance" 0.513592793449671
"996" "EBS" "Benthos" 1997 "Planktotrophic" "biomass" NA
"997" "EBS" "Benthos" 1997 "Predator" "abundance" 0.547397759887499
"998" "EBS" "Benthos" 1997 "Predator" "biomass" 0.3151399093325
"999" "EBS" "Benthos" 1997 "Scavenger" "abundance" 0.0681893381663349
"1000" "EBS" "Benthos" 1997 "Scavenger" "biomass" 0.19013005583549
"1001" "EBS" "Benthos" 1997 "Size" "abundance" 3.44235164090402
"1002" "EBS" "Benthos" 1997 "Size" "biomass" 3.46581706903601
"1003" "EBS" "Benthos" 1997 "Suspension.feeder" "abundance" 0.116023739660309
"1004" "EBS" "Benthos" 1997 "Suspension.feeder" "biomass" 0.193573830586524
"1007" "EBS" "Benthos" 1997 "Top" "abundance" 0.453754846623026
"1008" "EBS" "Benthos" 1997 "Top" "biomass" 0.534274455865133
"1021" "EBS" "Benthos" 1998 "Deposit.feeder" "abundance" 0.452123389502448
"1022" "EBS" "Benthos" 1998 "Deposit.feeder" "biomass" 0.441531130876747
"1023" "EBS" "Benthos" 1998 "Direct.dvlpt" "abundance" 0.430226361999981
"1024" "EBS" "Benthos" 1998 "Direct.dvlpt" "biomass" NA
"1025" "EBS" "Benthos" 1998 "Epibenthic" "abundance" 0.314985885236806
"1026" "EBS" "Benthos" 1998 "Epibenthic" "biomass" 0.0817090216010165
"1033" "EBS" "Benthos" 1998 "Lecitotrophic" "abundance" 0.128555566412952
"1034" "EBS" "Benthos" 1998 "Lecitotrophic" "biomass" NA
"1037" "EBS" "Benthos" 1998 "Middle" "abundance" 0.227543660415769
"1038" "EBS" "Benthos" 1998 "Middle" "biomass" 0.433163913595934
"1039" "EBS" "Benthos" 1998 "Planktotrophic" "abundance" 0.441218071587066
"1040" "EBS" "Benthos" 1998 "Planktotrophic" "biomass" NA
"1041" "EBS" "Benthos" 1998 "Predator" "abundance" 0.420593748835363
"1042" "EBS" "Benthos" 1998 "Predator" "biomass" 0.0878780177890724
"1043" "EBS" "Benthos" 1998 "Scavenger" "abundance" 0.038355880214991
"1044" "EBS" "Benthos" 1998 "Scavenger" "biomass" 0.0396251588310038
"1045" "EBS" "Benthos" 1998 "Size" "abundance" 3.89457754532326
"1046" "EBS" "Benthos" 1998 "Size" "biomass" 3.30933060503489
"1047" "EBS" "Benthos" 1998 "Suspension.feeder" "abundance" 0.0884654557192032
"1048" "EBS" "Benthos" 1998 "Suspension.feeder" "biomass" 0.430965692503177
"1051" "EBS" "Benthos" 1998 "Top" "abundance" 0.462351175490263
"1052" "EBS" "Benthos" 1998 "Top" "biomass" 0.510184242146822
"1065" "EBS" "Benthos" 1999 "Deposit.feeder" "abundance" 0.515532397474757
"1066" "EBS" "Benthos" 1999 "Deposit.feeder" "biomass" 0.552333979941393
"1067" "EBS" "Benthos" 1999 "Direct.dvlpt" "abundance" 0.292928057110696
"1068" "EBS" "Benthos" 1999 "Direct.dvlpt" "biomass" NA
"1069" "EBS" "Benthos" 1999 "Epibenthic" "abundance" 0.308227371292697
"1070" "EBS" "Benthos" 1999 "Epibenthic" "biomass" 0.048834480183496
"1077" "EBS" "Benthos" 1999 "Lecitotrophic" "abundance" 0.16595015581659
